Domain Code	Domain	Reporter Country Code	Reporter Countries	Partner Country Code	Partner Countries	Element Code	Element	Item Code	Item	Year Code	Year	Unit	Value	Flag	Flag Description
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	574	Pineapples	1998	1998	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	574	Pineapples	1999	1999	1000 US$	4		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	574	Pineapples	2000	2000	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	574	Pineapples	2001	2001	1000 US$	19		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	574	Pineapples	2003	2003	1000 US$	6		Official data
TM	Detailed trade matrix	81	Ghana	4	Algeria	5910	Export Quantity	249	Coconuts	2014	2014	tonnes	0	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	4	Algeria	5922	Export Value	249	Coconuts	2014	2014	1000 US$	1	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	4	Algeria	5910	Export Quantity	574	Pineapples	2014	2014	tonnes	302	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	4	Algeria	5910	Export Quantity	574	Pineapples	2015	2015	tonnes	165	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	4	Algeria	5922	Export Value	574	Pineapples	2014	2014	1000 US$	260	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	4	Algeria	5922	Export Value	574	Pineapples	2015	2015	1000 US$	161	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	7	Angola	5610	Import Quantity	560	Grapes	2017	2017	tonnes	19		Official data
TM	Detailed trade matrix	81	Ghana	7	Angola	5622	Import Value	560	Grapes	2017	2017	1000 US$	18		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5910	Export Quantity	486	Bananas	1998	1998	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5910	Export Quantity	486	Bananas	2001	2001	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5910	Export Quantity	486	Bananas	2017	2017	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5922	Export Value	486	Bananas	1998	1998	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5922	Export Value	486	Bananas	2001	2001	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5922	Export Value	486	Bananas	2017	2017	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5910	Export Quantity	574	Pineapples	1999	1999	tonnes	3		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5910	Export Quantity	574	Pineapples	2001	2001	tonnes	10		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5922	Export Value	574	Pineapples	1999	1999	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	8	Antigua and Barbuda	5922	Export Value	574	Pineapples	2001	2001	1000 US$	4		Official data
TM	Detailed trade matrix	81	Ghana	9	Argentina	5610	Import Quantity	515	Apples	2008	2008	tonnes	10		Official data
TM	Detailed trade matrix	81	Ghana	9	Argentina	5622	Import Value	515	Apples	2008	2008	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	9	Argentina	5610	Import Quantity	490	Oranges	2000	2000	tonnes	7		Official data
TM	Detailed trade matrix	81	Ghana	9	Argentina	5622	Import Value	490	Oranges	2000	2000	1000 US$	51		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5610	Import Quantity	515	Apples	2003	2003	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5622	Import Value	515	Apples	2003	2003	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	572	Avocados	2016	2016	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	572	Avocados	2016	2016	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	486	Bananas	1998	1998	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	486	Bananas	2019	2019	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	486	Bananas	1998	1998	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	486	Bananas	2019	2019	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	574	Pineapples	1998	1998	tonnes	33		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	574	Pineapples	1999	1999	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	574	Pineapples	2000	2000	tonnes	3		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	574	Pineapples	1998	1998	1000 US$	5		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	574	Pineapples	1999	1999	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	574	Pineapples	2000	2000	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5610	Import Quantity	388	Tomatoes	2019	2019	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5622	Import Value	388	Tomatoes	2019	2019	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	388	Tomatoes	2016	2016	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	388	Tomatoes	2016	2016	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5910	Export Quantity	567	Watermelons	2008	2008	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	10	Australia	5922	Export Value	567	Watermelons	2008	2008	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	486	Bananas	1998	1998	tonnes	2		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	486	Bananas	1999	1999	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	486	Bananas	2000	2000	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	486	Bananas	2001	2001	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	486	Bananas	2003	2003	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	486	Bananas	1998	1998	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	486	Bananas	1999	1999	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	486	Bananas	2000	2000	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	486	Bananas	2001	2001	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	486	Bananas	2003	2003	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	600	Papayas	2000	2000	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	600	Papayas	2000	2000	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	1998	1998	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	1999	1999	tonnes	17		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2000	2000	tonnes	5		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2001	2001	tonnes	2		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2003	2003	tonnes	21		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2017	2017	tonnes	5		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2018	2018	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5910	Export Quantity	574	Pineapples	2019	2019	tonnes	2		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	1998	1998	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	1999	1999	1000 US$	7		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2000	2000	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2001	2001	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2003	2003	1000 US$	7		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2017	2017	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2018	2018	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	11	Austria	5922	Export Value	574	Pineapples	2019	2019	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5910	Export Quantity	486	Bananas	2009	2009	tonnes	674		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5910	Export Quantity	486	Bananas	2018	2018	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5922	Export Value	486	Bananas	2009	2009	1000 US$	157		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5922	Export Value	486	Bananas	2018	2018	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5910	Export Quantity	574	Pineapples	1999	1999	tonnes	24		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5910	Export Quantity	574	Pineapples	2003	2003	tonnes	13		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5922	Export Value	574	Pineapples	1999	1999	1000 US$	9		Official data
TM	Detailed trade matrix	81	Ghana	12	Bahamas	5922	Export Value	574	Pineapples	2003	2003	1000 US$	5		Official data
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5910	Export Quantity	600	Papayas	2014	2014	tonnes	0	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5910	Export Quantity	600	Papayas	2015	2015	tonnes	1	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5922	Export Value	600	Papayas	2014	2014	1000 US$	0	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5922	Export Value	600	Papayas	2015	2015	1000 US$	4	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5910	Export Quantity	574	Pineapples	2014	2014	tonnes	0	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5910	Export Quantity	574	Pineapples	2017	2017	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5922	Export Value	574	Pineapples	2014	2014	1000 US$	2	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	13	Bahrain	5922	Export Value	574	Pineapples	2017	2017	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	16	Bangladesh	5910	Export Quantity	574	Pineapples	2000	2000	tonnes	13		Official data
TM	Detailed trade matrix	81	Ghana	16	Bangladesh	5922	Export Value	574	Pineapples	2000	2000	1000 US$	7		Official data
TM	Detailed trade matrix	81	Ghana	57	Belarus	5910	Export Quantity	486	Bananas	2015	2015	tonnes	20	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	57	Belarus	5922	Export Value	486	Bananas	2015	2015	1000 US$	15	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	57	Belarus	5910	Export Quantity	574	Pineapples	2015	2015	tonnes	21	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	57	Belarus	5922	Export Value	574	Pineapples	2015	2015	1000 US$	15	R	Estimated data using trading partners database
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2003	2003	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2005	2005	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2009	2009	tonnes	4		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2010	2010	tonnes	21		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2011	2011	tonnes	4		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2012	2012	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2013	2013	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2016	2016	tonnes	7		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2017	2017	tonnes	7		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	515	Apples	2018	2018	tonnes	22		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2003	2003	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2005	2005	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2009	2009	1000 US$	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2010	2010	1000 US$	22		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2011	2011	1000 US$	16		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2012	2012	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2013	2013	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2016	2016	1000 US$	5		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2017	2017	1000 US$	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	515	Apples	2018	2018	1000 US$	18		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	572	Avocados	2000	2000	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	572	Avocados	2001	2001	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	572	Avocados	2014	2014	tonnes	2	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	572	Avocados	2015	2015	tonnes	2	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	572	Avocados	2019	2019	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	572	Avocados	2000	2000	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	572	Avocados	2001	2001	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	572	Avocados	2014	2014	1000 US$	2	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	572	Avocados	2015	2015	1000 US$	2	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	572	Avocados	2019	2019	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2000	2000	tonnes	7		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2001	2001	tonnes	8		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2003	2003	tonnes	24		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2005	2005	tonnes	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2007	2007	tonnes	4981		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2008	2008	tonnes	124		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2009	2009	tonnes	6776		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2010	2010	tonnes	3559		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2014	2014	tonnes	12617	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2015	2015	tonnes	11291	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2017	2017	tonnes	21193		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2018	2018	tonnes	16673		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	486	Bananas	2019	2019	tonnes	34219		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2000	2000	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2001	2001	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2003	2003	1000 US$	7		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2005	2005	1000 US$	11		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2007	2007	1000 US$	1190		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2008	2008	1000 US$	37		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2009	2009	1000 US$	1845		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2010	2010	1000 US$	980		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2014	2014	1000 US$	14970	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2015	2015	1000 US$	11185	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2017	2017	1000 US$	6227		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2018	2018	1000 US$	6879		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	486	Bananas	2019	2019	1000 US$	10113		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	249	Coconuts	2012	2012	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	249	Coconuts	2013	2013	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	249	Coconuts	2012	2012	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	249	Coconuts	2013	2013	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2005	2005	tonnes	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2012	2012	tonnes	69		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2013	2013	tonnes	68		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2014	2014	tonnes	288	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2015	2015	tonnes	203	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2017	2017	tonnes	38		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2018	2018	tonnes	64		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	249	Coconuts	2019	2019	tonnes	71		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2005	2005	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2012	2012	1000 US$	80		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2013	2013	1000 US$	91		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2014	2014	1000 US$	191	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2015	2015	1000 US$	204	*	Unofficial figure
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2017	2017	1000 US$	128		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2018	2018	1000 US$	142		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	249	Coconuts	2019	2019	1000 US$	30		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2010	2010	tonnes	39		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2011	2011	tonnes	4		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2013	2013	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2016	2016	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2017	2017	tonnes	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2018	2018	tonnes	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	560	Grapes	2019	2019	tonnes	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2010	2010	1000 US$	47		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2011	2011	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2013	2013	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2016	2016	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2017	2017	1000 US$	4		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2018	2018	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	560	Grapes	2019	2019	1000 US$	3		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2005	2005	tonnes	10		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2013	2013	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2016	2016	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2017	2017	tonnes	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2018	2018	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5610	Import Quantity	490	Oranges	2019	2019	tonnes	4		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2005	2005	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2013	2013	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2016	2016	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2017	2017	1000 US$	2		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2018	2018	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5622	Import Value	490	Oranges	2019	2019	1000 US$	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	490	Oranges	2012	2012	tonnes	14		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	490	Oranges	2017	2017	tonnes	6		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	490	Oranges	2018	2018	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	490	Oranges	2012	2012	1000 US$	17		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	490	Oranges	2017	2017	1000 US$	12		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5922	Export Value	490	Oranges	2018	2018	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	600	Papayas	2000	2000	tonnes	21		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	600	Papayas	2001	2001	tonnes	11		Official data
TM	Detailed trade matrix	81	Ghana	255	Belgium	5910	Export Quantity	600	Papayas	2003	2003	tonnes	1		Official data
